id,name,code,image_path,country_id,national_team,updated_at
456,Botswana,BWA,https://cdn.sportmonks.com/images/cricket/teams/8/456.png,190324,FALSE,2019-08-19T11:18:56.000000Z
483,United States of America,USA,https://cdn.sportmonks.com/images/cricket/teams/3/483.png,190324,TRUE,2019-08-28T14:40:17.000000Z
486,Romania,ROU,https://cdn.sportmonks.com/images/cricket/teams/6/486.png,190324,FALSE,2019-08-27T18:22:34.000000Z
489,Austria,AUT,https://cdn.sportmonks.com/images/cricket/teams/9/489.png,190324,TRUE,2019-08-27T18:24:00.000000Z
492,Czech Republic,CZE,https://cdn.sportmonks.com/images/cricket/teams/12/492.png,190324,TRUE,2019-08-27T18:24:53.000000Z
495,Luxembourg,LUX,https://cdn.sportmonks.com/images/cricket/teams/15/495.png,190324,TRUE,2019-08-27T18:26:28.000000Z
498,Turkey,TUR,https://cdn.sportmonks.com/images/cricket/teams/18/498.png,190324,TRUE,2019-08-27T18:27:20.000000Z
501,Russia,RUS,https://cdn.sportmonks.com/images/cricket/teams/21/501.png,190324,TRUE,2019-08-27T18:31:20.000000Z
552,Vanuatu,VUT,https://cdn.sportmonks.com/images/cricket/teams/8/552.png,190324,TRUE,2019-09-27T16:54:33.000000Z
561,Gibraltar,GIB,https://cdn.sportmonks.com/images/cricket/teams/17/561.png,190324,TRUE,2019-10-04T18:26:51.000000Z
678,Uganda,UGA,https://cdn.sportmonks.com/images/cricket/teams/6/678.png,4125,FALSE,2020-02-12T09:44:02.000000Z
1065,Isle of Man,IMN,https://cdn.sportmonks.com/images/cricket/teams/9/1065.png,99474,FALSE,2020-08-11T09:46:20.000000Z
1311,Bulgaria,BGR,https://cdn.sportmonks.com/images/cricket/teams/31/1311.png,190324,FALSE,2021-06-21T13:13:10.000000Z
1829,Serbia,SEB,https://cdn.sportmonks.com/images/cricket/teams/5/1829.png,190324,FALSE,2021-06-21T13:16:31.000000Z
1850,Sweden,SWE,https://cdn.sportmonks.com/images/cricket/teams/26/1850.png,99474,FALSE,2022-06-07T16:13:55.000000Z
1856,Hungary,HUN,https://cdn.sportmonks.com/images/cricket/teams/0/1856.png,41,FALSE,2021-07-01T20:11:07.000000Z
1880,France,FRA,https://cdn.sportmonks.com/images/cricket/teams/24/1880.png,190324,FALSE,2022-09-26T03:36:00.000000Z
1958,Switzerland,CHE,https://cdn.sportmonks.com/images/cricket/teams/6/1958.png,190324,FALSE,2021-10-09T21:52:27.000000Z
2057,Bahrain,BHR,https://cdn.sportmonks.com/images/cricket/teams/9/2057.png,190324,FALSE,2022-01-29T11:56:14.000000Z
2060,Western Province,WP,https://cdn.sportmonks.com/images/cricket/teams/12/2060.png,146,FALSE,2022-02-02T09:43:17.000000Z
2063,Rocks,ROC,https://cdn.sportmonks.com/images/cricket/teams/15/2063.png,146,FALSE,2022-02-05T19:30:00.000000Z
2066,North West Dragons,NWD,https://cdn.sportmonks.com/images/cricket/teams/18/2066.png,146,FALSE,2022-10-12T19:41:50.000000Z
2156,Croatia,HRV,https://cdn.sportmonks.com,190324,FALSE,2022-07-24T12:50:38.000000Z
2183,Indonesia,ISN,https://cdn.sportmonks.com/images/cricket/teams/7/2183.png,190324,FALSE,2022-08-04T13:54:57.000000Z
2186,Japan,JPN,https://cdn.sportmonks.com/images/cricket/teams/10/2186.png,190324,FALSE,2022-08-04T13:55:57.000000Z
2252,Rwanda,RWA,https://cdn.sportmonks.com/images/cricket/teams/12/2252.png,190324,FALSE,2022-10-29T19:53:57.000000Z
2255,Tanzania,TZA,https://cdn.sportmonks.com/images/cricket/teams/15/2255.png,190324,FALSE,2022-10-29T19:55:07.000000Z
